Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.044657,0.003418,0.000001,0.004612,0.098859,0.002313,0.000001,0.001266,0.000012,0.001508,0.000001,0.156647
0.084606,0.002782,0.000001,0.002089,0.074877,0.002443,0.000001,0.001351,0.000011,0.001323,0.000001,0.169484
0.066467,0.002522,0.000001,0.002750,0.084452,0.002331,0.000001,0.001203,0.000010,0.001374,0.000001,0.161111
0.059342,0.002866,0.000001,0.003788,0.182740,0.002338,0.000001,0.001340,0.000018,0.001417,0.000001,0.253851
0.085824,0.002694,0.000001,0.002433,0.079732,0.002143,0.000000,0.001329,0.000011,0.001673,0.000001,0.175840
0.064278,0.002626,0.000001,0.002165,0.160859,0.002703,0.000001,0.002166,0.000008,0.001223,0.000001,0.236031
0.071317,0.002821,0.000001,0.003073,0.169990,0.002151,0.000001,0.001338,0.000007,0.001261,0.000001,0.251959
0.058876,0.002313,0.000001,0.002226,0.169387,0.002310,0.000001,0.001283,0.000007,0.001386,0.000001,0.237790
0.061612,0.002284,0.000001,0.003107,0.092045,0.002330,0.000001,0.001469,0.000010,0.001872,0.000001,0.164729
0.059691,0.002721,0.000000,0.002833,0.339658,0.002209,0.000001,0.001711,0.000011,0.001340,0.000001,0.410177
0.059389,0.004523,0.000001,0.003683,0.328248,0.001750,0.000001,0.001228,0.000008,0.001238,0.000000,0.400069
0.063647,0.002372,0.000001,0.003880,0.101528,0.002482,0.000001,0.001125,0.000009,0.001183,0.000001,0.176229
0.066295,0.002277,0.000001,0.003080,0.287382,0.002009,0.000001,0.002696,0.000014,0.001704,0.000001,0.365460
0.094493,0.002553,0.000001,0.003289,0.085356,0.002570,0.000001,0.001602,0.000010,0.001413,0.000001,0.191290
0.086612,0.002291,0.000001,0.003016,0.324373,0.002085,0.000001,0.001237,0.000012,0.001290,0.000000,0.420918
0.062783,0.002254,0.000001,0.003618,0.185959,0.002906,0.000001,0.001072,0.000013,0.001202,0.000001,0.259808
0.062772,0.002602,0.000001,0.003370,0.430113,0.001683,0.000001,0.001143,0.000011,0.001343,0.000001,0.503040
0.067374,0.002172,0.000001,0.003028,0.297774,0.001748,0.000001,0.001360,0.000010,0.001482,0.000001,0.374950
0.080104,0.002824,0.000001,0.001986,0.150709,0.002288,0.000001,0.001921,0.000007,0.001542,0.000001,0.241383
0.097445,0.004309,0.000001,0.003101,0.084375,0.002373,0.000001,0.001553,0.000009,0.002691,0.000001,0.195859
0.076581,0.002659,0.000001,0.002005,0.168805,0.002452,0.000001,0.001296,0.000010,0.001299,0.000001,0.255108
0.061456,0.003163,0.000001,0.002665,0.174027,0.002398,0.000001,0.001283,0.000009,0.001335,0.000001,0.246340
0.061692,0.003827,0.000001,0.002050,0.160489,0.002162,0.000001,0.001203,0.000010,0.001366,0.000001,0.232803
0.064896,0.002548,0.000001,0.002274,0.105917,0.002281,0.000000,0.001427,0.000050,0.001314,0.000001,0.180709
0.062296,0.002414,0.000001,0.001886,0.181661,0.002446,0.000001,0.001468,0.000013,0.001767,0.000001,0.253953
0.062975,0.002424,0.000001,0.002725,0.214647,0.002305,0.000001,0.002446,0.000014,0.002376,0.000001,0.289914
0.070276,0.002760,0.000001,0.003444,0.776343,0.001737,0.000001,0.001799,0.000006,0.001351,0.000001,0.857719
0.100381,0.002383,0.000001,0.003633,0.679900,0.001790,0.000000,0.001559,0.000011,0.001260,0.000001,0.790919
0.066835,0.002491,0.000001,0.002218,0.077983,0.002514,0.000001,0.001209,0.000010,0.001147,0.000000,0.154408
0.083388,0.002353,0.000001,0.001900,0.181706,0.001719,0.000001,0.001284,0.000009,0.001411,0.000001,0.273772
0.072976,0.002272,0.000001,0.001924,0.163201,0.002448,0.000001,0.001134,0.000009,0.001178,0.000001,0.245145
0.059895,0.002206,0.000001,0.001817,0.073009,0.002372,0.000001,0.001859,0.000013,0.002053,0.000001,0.143226
0.069907,0.003081,0.000001,0.001876,0.195140,0.002446,0.000001,0.001123,0.000008,0.001949,0.000000,0.275533
0.062616,0.002252,0.000001,0.001720,0.189956,0.001801,0.000001,0.001202,0.000010,0.001352,0.000001,0.260911
0.061101,0.002306,0.000001,0.001712,0.072926,0.002381,0.000001,0.001268,0.000009,0.001724,0.000001,0.143430
0.076304,0.002276,0.000001,0.002645,0.204193,0.001975,0.000001,0.001174,0.000015,0.001369,0.000001,0.289954
0.062658,0.002324,0.000001,0.001912,0.161471,0.002764,0.000001,0.001325,0.000012,0.001799,0.000001,0.234267
0.099864,0.002391,0.000001,0.001956,0.073604,0.002212,0.000001,0.001129,0.000012,0.001247,0.000001,0.182416
0.087953,0.002321,0.000001,0.001840,0.072967,0.002023,0.000001,0.001170,0.000010,0.001302,0.000001,0.169588
0.067837,0.002351,0.000001,0.001922,0.163207,0.002224,0.000001,0.001280,0.000009,0.001419,0.000001,0.240251
0.068009,0.002281,0.000001,0.002279,0.190908,0.002391,0.000000,0.001097,0.000009,0.001286,0.000001,0.268262
0.063524,0.002511,0.000001,0.001840,0.181650,0.001641,0.000001,0.001180,0.000008,0.001128,0.000001,0.253484
